decimalLatitude,decimalLongitude,genus
11.11,166.53,Acropora
11.29,166.88,Acropora
8.857189,167.681641,Acropora
8.973156,167.792869,Acropora
11.625,165.525,Acropora
11.625,165.525,Isopora
11.625,165.525,Platygyra
11.625,165.525,Goniopora
11.625,165.525,Echinopora
11.625,165.525,Lobophyllia
11.625,165.525,Favites
11.625,165.525,Hydnophora
11.625,165.525,Psammocora
11.625,165.525,Goniastrea
11.625,165.525,Dipsastraea
11.625,165.525,Pavona
11.625,165.525,Merulina
11.625,165.525,Acanthastrea
11.625,165.525,Alveopora
11.625,165.525,Leptoseris
11.625,165.525,Echinophyllia
11.625,165.525,Montipora
11.625,165.525,Porites
11.625,165.525,Cyphastrea
11.625,165.525,Fungia
11.625,165.525,Astrea
11.625,165.525,Leptastrea
11.625,165.525,Pocillopora
11.636667,165.503333,Echinophyllia
11.675,165.416667,Polyphyllia
11.523333,165.403333,Lithophyllon
11.505,165.408333,Lobactis
11.69,165.285,Fungia
11.675,165.416667,Pocillopora
11.625,165.403333,Herpolitha
11.523333,165.403333,Oulophyllia
11.525,165.556667,Montipora
11.316667,165.333333,Paramontastraea
11.316667,165.333333,Astrea
11.52,166.841667,Acropora
11.52,166.841667,Isopora
11.52,166.841667,Porites
11.52,166.841667,Leptastrea
11.52,166.841667,Goniastrea
11.52,166.841667,Danafungia
11.52,166.841667,Lobactis
11.52,166.841667,Echinopora
11.52,166.841667,Pleuractis
11.52,166.841667,Coscinaraea
11.52,166.841667,Podabacia
11.52,166.841667,Seriatopora
11.52,166.841667,Stylocoeniella
11.52,166.841667,Cycloseris
11.52,165.841667,Pleuractis
11.52,165.841667,Cycloseris
11.52,165.841667,Gardineroseris
11.52,165.841667,Favites
11.52,165.841667,Seriatopora
11.52,165.841667,Turbinaria
11.52,165.841667,Pocillopora
7.0876,171.3728,Montipora
8.956272,167.74046,Cycloseris
15.1667,167.233,Deltocyathus
7.083333,171.133333,Acropora
8.717351,167.758356,Plerogyra
11.3664,162.347,Cycloseris
7.22,171.65,Hydnophora
11.3664,162.347,Zoopilus
7.217,171.649994,Hydnophora
11.45067,162.39067,Dipsastraea
11.365,162.35,Pocillopora
11.3475,162.329,Acropora
11.6686,162.183,Fungia
11.4597,162.093,Acropora
11.4306,162.392,Leptastrea
11.3528,162.205,Turbinaria
11.4597,162.093,Pavona
11.3528,162.205,Acropora
11.4597,162.093,Leptastrea
11.35,162.322,Dipsastraea
11.4306,162.392,Acropora
11.4597,162.093,Pleuractis
11.6686,162.183,Pavona
11.39,162.333,Psammocora
